ID	Name	CN Name	Decribe	CN Describe	Icon Path	AtlasPath	SpineSlots	Part	WeaponType
21	weapon 21	武器21	weapon 21	武器21	g_wuqi_1_6	equip/gongjian/wuqi01/g_wuqi_1_6/skeleton_Atlas	wuqi	0	3
22	weapon 22	武器22	weapon 22	武器22	g_wuqi_1_7	equip/gongjian/wuqi01/g_wuqi_1_7/skeleton_Atlas	wuqi	0	3
23	weapon 23	武器23	weapon 23	武器23	g_wuqi_1_9	equip/gongjian/wuqi01/g_wuqi_1_9/skeleton_Atlas	wuqi	0	3
24	weapon 24	武器24	weapon 24	武器24	g_wuqi_1_10	equip/gongjian/wuqi01/g_wuqi_1_10/skeleton_Atlas	wuqi	0	3
25	weapon 25	武器25	weapon 25	武器25	g_wuqi_1_12	equip/gongjian/wuqi01/g_wuqi_1_12/skeleton_Atlas	wuqi	0	3
26	weapon 26	武器26	weapon 26	武器26	g_wuqi_1_13	equip/gongjian/wuqi01/g_wuqi_1_13/skeleton_Atlas	wuqi	0	3
27	weapon 27	武器27	weapon 27	武器27	g_wuqi_1_14	equip/gongjian/wuqi01/g_wuqi_1_14/skeleton_Atlas	wuqi	0	3
28	weapon 28	武器28	weapon 28	武器28	g_wuqi_1_15	equip/gongjian/wuqi01/g_wuqi_1_15/skeleton_Atlas	wuqi	0	3
29	weapon 29	武器29	weapon 29	武器29	g_wuqi_1_16	equip/gongjian/wuqi01/g_wuqi_1_16/skeleton_Atlas	wuqi	0	3
30	weapon 30	武器30	weapon 30	武器30	g_wuqi_1_17	equip/gongjian/wuqi01/g_wuqi_1_17/skeleton_Atlas	wuqi	0	3
31	weapon 31	武器31	weapon 31	武器31	g_wuqi_1_18	equip/gongjian/wuqi01/g_wuqi_1_18/skeleton_Atlas	wuqi	0	3
32	weapon 32	武器32	weapon 32	武器32	g_wuqi_1_20	equip/gongjian/wuqi01/g_wuqi_1_20/skeleton_Atlas	wuqi	0	3
33	weapon 33	武器33	weapon 33	武器33	g_wuqi_1_25	equip/gongjian/wuqi01/g_wuqi_1_25/skeleton_Atlas	wuqi	0	3
34	weapon 34	武器34	weapon 34	武器34	g_wuqi_1_30	equip/gongjian/wuqi01/g_wuqi_1_30/skeleton_Atlas	wuqi	0	3
35	weapon 35	武器35	weapon 35	武器35	g_wuqi_1_35	equip/gongjian/wuqi01/g_wuqi_1_35/skeleton_Atlas	wuqi	0	3
36	weapon 36	武器36	weapon 36	武器36	g_wuqi_1_40	equip/gongjian/wuqi01/g_wuqi_1_40/skeleton_Atlas	wuqi	0	3
37	weapon 37	武器37	weapon 37	武器37	g_wuqi_1_45	equip/gongjian/wuqi01/g_wuqi_1_45/skeleton_Atlas	wuqi	0	3
38	weapon 38	武器38	weapon 38	武器38	g_wuqi_1_50	equip/gongjian/wuqi01/g_wuqi_1_50/skeleton_Atlas	wuqi	0	3
39	weapon 39	武器39	weapon 39	武器39	z_wuqi_1_3	equip/zhanshi/wuqi01/z_wuqi_1_3/skeleton_Atlas	wuqi	0	1
40	weapon 40	武器40	weapon 40	武器40	z_wuqi_1_5	equip/zhanshi/wuqi01/z_wuqi_1_5/skeleton_Atlas	wuqi	0	1
41	weapon 41	武器41	weapon 41	武器41	z_wuqi_1_6	equip/zhanshi/wuqi01/z_wuqi_1_6/skeleton_Atlas	wuqi	0	1
42	weapon 42	武器42	weapon 42	武器42	z_wuqi_1_7	equip/zhanshi/wuqi01/z_wuqi_1_7/skeleton_Atlas	wuqi	0	1
43	weapon 43	武器43	weapon 43	武器43	z_wuqi_1_9	equip/zhanshi/wuqi01/z_wuqi_1_9/skeleton_Atlas	wuqi	0	1
44	weapon 44	武器44	weapon 44	武器44	z_wuqi_1_10	equip/zhanshi/wuqi01/z_wuqi_1_10/skeleton_Atlas	wuqi	0	1
45	weapon 45	武器45	weapon 45	武器45	z_wuqi_1_12	equip/zhanshi/wuqi01/z_wuqi_1_12/skeleton_Atlas	wuqi	0	1
46	weapon 46	武器46	weapon 46	武器46	z_wuqi_1_13	equip/zhanshi/wuqi01/z_wuqi_1_13/skeleton_Atlas	wuqi	0	1
47	weapon 47	武器47	weapon 47	武器47	z_wuqi_1_14	equip/zhanshi/wuqi01/z_wuqi_1_14/skeleton_Atlas	wuqi	0	1
48	weapon 48	武器48	weapon 48	武器48	z_wuqi_1_15	equip/zhanshi/wuqi01/z_wuqi_1_15/skeleton_Atlas	wuqi	0	1
49	weapon 49	武器49	weapon 49	武器49	z_wuqi_1_16	equip/zhanshi/wuqi01/z_wuqi_1_16/skeleton_Atlas	wuqi	0	1
50	weapon 50	武器50	weapon 50	武器50	z_wuqi_1_17	equip/zhanshi/wuqi01/z_wuqi_1_17/skeleton_Atlas	wuqi	0	1
51	weapon 51	武器51	weapon 51	武器51	z_wuqi_1_18	equip/zhanshi/wuqi01/z_wuqi_1_18/skeleton_Atlas	wuqi	0	1
52	weapon 52	武器52	weapon 52	武器52	z_wuqi_1_20	equip/zhanshi/wuqi01/z_wuqi_1_20/skeleton_Atlas	wuqi	0	1
53	weapon 53	武器53	weapon 53	武器53	z_wuqi_1_25	equip/zhanshi/wuqi01/z_wuqi_1_25/skeleton_Atlas	wuqi	0	1
54	weapon 54	武器54	weapon 54	武器54	z_wuqi_1_30	equip/zhanshi/wuqi01/z_wuqi_1_30/skeleton_Atlas	wuqi	0	1
55	weapon 55	武器55	weapon 55	武器55	z_wuqi_1_35	equip/zhanshi/wuqi01/z_wuqi_1_35/skeleton_Atlas	wuqi	0	1
56	weapon 56	武器56	weapon 56	武器56	z_wuqi_1_40	equip/zhanshi/wuqi01/z_wuqi_1_40/skeleton_Atlas	wuqi	0	1
57	subweapon 1	副武器1	subweapon 1	副武器1	f_fwuqi_1_0	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
58	subweapon 2	副武器2	subweapon 2	副武器2	f_fwuqi_1_3	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
59	subweapon 3	副武器3	subweapon 3	副武器3	f_fwuqi_1_5	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
60	subweapon 4	副武器4	subweapon 4	副武器4	f_fwuqi_1_6	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
61	subweapon 5	副武器5	subweapon 5	副武器5	f_fwuqi_1_7	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
62	subweapon 6	副武器6	subweapon 6	副武器6	f_fwuqi_1_9	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
63	subweapon 7	副武器7	subweapon 7	副武器7	f_fwuqi_1_10	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
64	subweapon 8	副武器8	subweapon 8	副武器8	f_fwuqi_1_11	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
65	subweapon 9	副武器9	subweapon 9	副武器9	f_fwuqi_1_12	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
66	subweapon 10	副武器10	subweapon 10	副武器10	f_fwuqi_1_14	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
67	subweapon 11	副武器11	subweapon 11	副武器11	f_fwuqi_1_15	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
68	subweapon 12	副武器12	subweapon 12	副武器12	f_fwuqi_1_17	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
69	subweapon 13	副武器13	subweapon 13	副武器13	f_fwuqi_1_19	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
70	subweapon 14	副武器14	subweapon 14	副武器14	f_fwuqi_1_20	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
71	subweapon 15	副武器15	subweapon 15	副武器15	f_fwuqi_1_25	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
72	subweapon 16	副武器16	subweapon 16	副武器16	f_fwuqi_1_30	equip/fashi/wuqi01/f_fwuqi_1_0/skeleton_Atlas	dun	1	0
73	subweapon 17	副武器17	subweapon 17	副武器17	g_fwuqi_1_0	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
74	subweapon 18	副武器18	subweapon 18	副武器18	g_fwuqi_1_5	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
75	subweapon 19	副武器19	subweapon 19	副武器19	g_fwuqi_1_7	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
76	subweapon 20	副武器20	subweapon 20	副武器20	g_fwuqi_1_10	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
77	subweapon 21	副武器21	subweapon 21	副武器21	g_fwuqi_1_11	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
78	subweapon 22	副武器22	subweapon 22	副武器22	g_fwuqi_1_12	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
79	subweapon 23	副武器23	subweapon 23	副武器23	g_fwuqi_1_14	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
80	subweapon 24	副武器24	subweapon 24	副武器24	g_fwuqi_1_15	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
81	subweapon 25	副武器25	subweapon 25	副武器25	g_fwuqi_1_16	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
82	subweapon 26	副武器26	subweapon 26	副武器26	g_fwuqi_1_17	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
83	subweapon 27	副武器27	subweapon 27	副武器27	g_fwuqi_1_21	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
84	subweapon 28	副武器28	subweapon 28	副武器28	g_fwuqi_1_25	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
85	subweapon 29	副武器29	subweapon 29	副武器29	g_fwuqi_1_26	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
86	subweapon 30	副武器30	subweapon 30	副武器30	g_fwuqi_1_30	equip/gongjian/wuqi01/g_fwuqi_1_0/skeleton_Atlas	dun	1	0
87	subweapon 31	副武器31	subweapon 31	副武器31	z_fwuqi_1_0	equip/zhanshi/wuqi01/z_fwuqi_1_0/skeleton_Atlas	dun	1	0
88	subweapon 32	副武器32	subweapon 32	副武器32	z_fwuqi_1_3	equip/zhanshi/wuqi01/z_fwuqi_1_3/skeleton_Atlas	dun	1	0
89	subweapon 33	副武器33	subweapon 33	副武器33	z_fwuqi_1_5	equip/zhanshi/wuqi01/z_fwuqi_1_5/skeleton_Atlas	dun	1	0
90	subweapon 34	副武器34	subweapon 34	副武器34	z_fwuqi_1_7	equip/zhanshi/wuqi01/z_fwuqi_1_7/skeleton_Atlas	dun	1	0
91	subweapon 35	副武器35	subweapon 35	副武器35	z_fwuqi_1_10	equip/zhanshi/wuqi01/z_fwuqi_1_10/skeleton_Atlas	dun	1	0
92	subweapon 36	副武器36	subweapon 36	副武器36	z_fwuqi_1_12	equip/zhanshi/wuqi01/z_fwuqi_1_12/skeleton_Atlas	dun	1	0
93	subweapon 37	副武器37	subweapon 37	副武器37	z_fwuqi_1_15	equip/zhanshi/wuqi01/z_fwuqi_1_15/skeleton_Atlas	dun	1	0
94	subweapon 38	副武器38	subweapon 38	副武器38	z_fwuqi_1_17	equip/zhanshi/wuqi01/z_fwuqi_1_17/skeleton_Atlas	dun	1	0
95	subweapon 39	副武器39	subweapon 39	副武器39	z_fwuqi_1_20	equip/zhanshi/wuqi01/z_fwuqi_1_20/skeleton_Atlas	dun	1	0
96	subweapon 40	副武器40	subweapon 40	副武器40	z_fwuqi_1_21	equip/zhanshi/wuqi01/z_fwuqi_1_21/skeleton_Atlas	dun	1	0
97	subweapon 41	副武器41	subweapon 41	副武器41	z_fwuqi_1_25	equip/zhanshi/wuqi01/z_fwuqi_1_25/skeleton_Atlas	dun	1	0
98	subweapon 42	副武器42	subweapon 42	副武器42	z_fwuqi_1_30	equip/zhanshi/wuqi01/z_fwuqi_1_30/skeleton_Atlas	dun	1	0
99	armor 1	上衣1	armor 1	上衣1	f_body_1_0	equip/fashi/yifu/f_body_1_0/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen03	2	0
100	armor 2	上衣2	armor 2	上衣2	f_body_1_2	equip/fashi/yifu/f_body_1_2/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen04	2	0
101	armor 3	上衣3	armor 3	上衣3	f_body_1_5	equip/fashi/yifu/f_body_1_5/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen05	2	0
102	armor 4	上衣4	armor 4	上衣4	f_body_1_7	equip/fashi/yifu/f_body_1_7/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen06	2	0
103	armor 5	上衣5	armor 5	上衣5	f_body_1_10	equip/fashi/yifu/f_body_1_10/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen07	2	0
104	armor 6	上衣6	armor 6	上衣6	f_body_1_12	equip/fashi/yifu/f_body_1_12/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen08	2	0
105	armor 7	上衣7	armor 7	上衣7	f_body_1_15	equip/fashi/yifu/f_body_1_15/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen09	2	0
106	armor 8	上衣8	armor 8	上衣8	f_body_1_17	equip/fashi/yifu/f_body_1_17/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen10	2	0
107	armor 9	上衣9	armor 9	上衣9	f_body_1_20	equip/fashi/yifu/f_body_1_20/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen11	2	0
108	armor 10	上衣10	armor 10	上衣10	f_body_1_25	equip/fashi/yifu/f_body_1_25/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen12	2	0
109	armor 11	上衣11	armor 11	上衣11	f_body_1_30	equip/fashi/yifu/f_body_1_30/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen13	2	0
110	armor 12	上衣12	armor 12	上衣12	g_body_1_0	equip/gongjian/yifu/g_body_1_0/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen15	2	0
111	armor 13	上衣13	armor 13	上衣13	g_body_1_3	equip/gongjian/yifu/g_body_1_3/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen16	2	0
112	armor 14	上衣14	armor 14	上衣14	g_body_1_5	equip/gongjian/yifu/g_body_1_5/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen17	2	0
113	armor 15	上衣15	armor 15	上衣15	g_body_1_7	equip/gongjian/yifu/g_body_1_7/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen18	2	0
114	armor 16	上衣16	armor 16	上衣16	g_body_1_10	equip/gongjian/yifu/g_body_1_10/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen19	2	0
115	armor 17	上衣17	armor 17	上衣17	g_body_1_12	equip/gongjian/yifu/g_body_1_12/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen20	2	0
116	armor 18	上衣18	armor 18	上衣18	g_body_1_15	equip/gongjian/yifu/g_body_1_15/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen21	2	0
117	armor 19	上衣19	armor 19	上衣19	g_body_1_16	equip/gongjian/yifu/g_body_1_16/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen22	2	0
118	armor 20	上衣20	armor 20	上衣20	g_body_1_25	equip/gongjian/yifu/g_body_1_25/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen23	2	0
119	armor 21	上衣21	armor 21	上衣21	g_body_1_30	equip/gongjian/yifu/g_body_1_30/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen24	2	0
120	armor 22	上衣22	armor 22	上衣22	z_body_1_0	equip/zhanshi/yifu/z_body_1_0/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen25	2	0
121	armor 23	上衣23	armor 23	上衣23	z_body_1_3	equip/zhanshi/yifu/z_body_1_3/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen26	2	0
122	armor 24	上衣24	armor 24	上衣24	z_body_1_5	equip/zhanshi/yifu/z_body_1_5/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen27	2	0
123	armor 25	上衣25	armor 25	上衣25	z_body_1_7	equip/zhanshi/yifu/z_body_1_7/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen28	2	0
124	armor 26	上衣26	armor 26	上衣26	z_body_1_10	equip/zhanshi/yifu/z_body_1_10/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen29	2	0
125	armor 27	上衣27	armor 27	上衣27	z_body_1_11	equip/zhanshi/yifu/z_body_1_11/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen30	2	0
126	armor 28	上衣28	armor 28	上衣28	z_body_1_15	equip/zhanshi/yifu/z_body_1_15/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen31	2	0
127	armor 29	上衣29	armor 29	上衣29	z_body_1_20	equip/zhanshi/yifu/z_body_1_20/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen32	2	0
128	armor 30	上衣30	armor 30	上衣30	z_body_1_25	equip/zhanshi/yifu/z_body_1_25/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen32	2	0
129	armor 31	上衣31	armor 31	上衣31	z_body_1_30	equip/zhanshi/yifu/z_body_1_30/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen32	2	0
130	armor 32	上衣32	armor 32	上衣32	z_body_1_35	equip/zhanshi/yifu/z_body_1_40/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen32	2	0
131	armor 33	上衣33	armor 33	上衣33	z_body_1_40	equip/zhanshi/yifu/z_body_1_35/skeleton_Atlas	body$jianjia01$jianjia02$weiqun$pijian$pijian02$changpao$dabi01$dabi02$xiaobi01$xiaobi02$beifen01$beifen02$beifen32	2	0
132	hat 1	帽子1	hat 1	帽子1	f_head_1_0	equip/fashi/tou/f_head_1_0/skeleton_Atlas	head	3	0
133	hat 2	帽子2	hat 2	帽子2	f_head_1_2	equip/fashi/tou/f_head_1_2/skeleton_Atlas	head	3	0
134	hat 3	帽子3	hat 3	帽子3	f_head_1_5	equip/fashi/tou/f_head_1_5/skeleton_Atlas	head	3	0
135	hat 4	帽子4	hat 4	帽子4	f_head_1_6	equip/fashi/tou/f_head_1_6/skeleton_Atlas	head	3	0
136	hat 5	帽子5	hat 5	帽子5	f_head_1_7	equip/fashi/tou/f_head_1_7/skeleton_Atlas	head	3	0
137	hat 6	帽子6	hat 6	帽子6	f_head_1_9	equip/fashi/tou/f_head_1_9/skeleton_Atlas	head	3	0
138	hat 7	帽子7	hat 7	帽子7	f_head_1_10	equip/fashi/tou/f_head_1_10/skeleton_Atlas	head	3	0
139	hat 8	帽子8	hat 8	帽子8	f_head_1_12	equip/fashi/tou/f_head_1_12/skeleton_Atlas	head	3	0
140	hat 9	帽子9	hat 9	帽子9	f_head_1_13	equip/fashi/tou/f_head_1_13/skeleton_Atlas	head	3	0
141	hat 10	帽子10	hat 10	帽子10	f_head_1_15	equip/fashi/tou/f_head_1_15/skeleton_Atlas	head	3	0
142	hat 11	帽子11	hat 11	帽子11	f_head_1_17	equip/fashi/tou/f_head_1_17/skeleton_Atlas	head	3	0
143	hat 12	帽子12	hat 12	帽子12	f_head_1_18	equip/fashi/tou/f_head_1_18/skeleton_Atlas	head	3	0
144	hat 13	帽子13	hat 13	帽子13	f_head_1_20	equip/fashi/tou/f_head_1_20/skeleton_Atlas	head	3	0
145	hat 14	帽子14	hat 14	帽子14	f_head_1_25	equip/fashi/tou/f_head_1_25/skeleton_Atlas	head	3	0
146	hat 15	帽子15	hat 15	帽子15	f_head_1_30	equip/fashi/tou/f_head_1_30/skeleton_Atlas	head	3	0
147	hat 16	帽子16	hat 16	帽子16	g_head_1_0	equip/gongjian/tou/g_head_1_0/skeleton_Atlas	head	3	0
148	hat 17	帽子17	hat 17	帽子17	g_head_1_3	equip/gongjian/tou/g_head_1_3/skeleton_Atlas	head	3	0
149	hat 18	帽子18	hat 18	帽子18	g_head_1_5	equip/gongjian/tou/g_head_1_5/skeleton_Atlas	head	3	0
150	hat 19	帽子19	hat 19	帽子19	g_head_1_10	equip/gongjian/tou/g_head_1_10/skeleton_Atlas	head	3	0
151	hat 20	帽子20	hat 20	帽子20	g_head_1_11	equip/gongjian/tou/g_head_1_11/skeleton_Atlas	head	3	0
152	hat 21	帽子21	hat 21	帽子21	g_head_1_12	equip/gongjian/tou/g_head_1_12/skeleton_Atlas	head	3	0
153	hat 22	帽子22	hat 22	帽子22	g_head_1_15	equip/gongjian/tou/g_head_1_15/skeleton_Atlas	head	3	0
154	hat 23	帽子23	hat 23	帽子23	g_head_1_16	equip/gongjian/tou/g_head_1_16/skeleton_Atlas	head	3	0
155	hat 24	帽子24	hat 24	帽子24	g_head_1_18	equip/gongjian/tou/g_head_1_18/skeleton_Atlas	head	3	0
156	hat 25	帽子25	hat 25	帽子25	g_head_1_20	equip/gongjian/tou/g_head_1_20/skeleton_Atlas	head	3	0
157	hat 26	帽子26	hat 26	帽子26	g_head_1_25	equip/gongjian/tou/g_head_1_25/skeleton_Atlas	head	3	0
